X,Y,OBJECTID,KOD,NAZEV,TYP,POCET,OP_TYP,URCENO,ZMENA_G,ZMENA_T
15.5891756829093,49.8769274768531,5195,101606,Žižkův dub,1,1,VYH,1,20100420,20110809
13.5808170325135,49.7004502090414,5196,105038,Dub u Humlů,1,1,VYH,1,20100212,20211125
14.8681077303901,49.8172279743501,5197,104224,Javor klen,1,1,ZAK,1,20100610,20130723
15.8743444294914,49.8965464720091,5198,101579,Hloh obecný,1,1,ZAK,1,20100325,20130723
14.2608548642785,49.7615527390359,5199,103466,Buk u Kozích hor,1,1,ZAK,1,20100610,20141017
17.2665818503669,49.9932257014339,5200,100566,Lípa pod Panorámkou,1,1,ZAK,1,20100118,20100922
13.9607734266365,49.7327753996841,5201,105537,Hrušeň Marie,1,1,VYH,1,20100820,20110809
16.9647690113568,49.9726522918844,5202,105713,"Lípa Johanna II. z Lichtenštejna ""Johanka""",1,1,VYH,1,20110404,20110809
17.2728774417983,49.9908601996957,5203,100567,Jasan v zatáčce pod kostelem v Nové Vsi,1,1,ZAK,1,20100118,20110809
17.2699471002558,49.9902976074291,5204,100556,Lípa nad ovčínem,1,1,ZAK,1,20100118,20100922
15.8350241406714,49.8893986516119,5205,101608,Dub letní,1,1,VYH,1,20100325,20110809
17.2753884450071,49.9896165682283,5206,100565,Maďal v Nové Vsi,1,1,ZAK,1,20100118,20100922
